,0,1,2,3,4,5,6,7,8,9,10
1,Write-In cells: 185,,,,,,,,,,
2,Overvote cells: 291,,,,,,,,,,
3,Rita C. Joseph: 0,,,,,,,,,,
4,Kenya Handy-Hilliard: 1,,,,,,,,,,
5,Cecilia Cortez: 2,,,,,,,,,,
6,Victor Jordan: 3,,,,,,,,,,
7,Edwin K. Raymond: 4,,,,,,,,,,
8,Josue Pierre: 5,,,,,,,,,,
9,Maxi Eugene: 6,,,,,,,,,,
10,Vivia M. Morgan: 7,,,,,,,,,,
11,John Williams: 8,,,,,,,,,,
12,Harriet L. Hines: 9,,,,,,,,,,
13,Blake Morris: 10,,,,,,,,,,
6491,1,10.0,0.0,,,,,,,,
6492,5,0.0,10.0,2.0,1.0,,,,,,
6493,1,5.0,9.0,4.0,,,,,,,
6494,0,1.0,2.0,9.0,7.0,,,,,,
6495,0,1.0,,,,,,,,,
6496,5,4.0,0.0,3.0,10.0,,,,,,
6776,0,1.0,9.0,,,,,,,,
6777,8,5.0,9.0,6.0,10.0,,,,,,
6778,0,9.0,7.0,1.0,6.0,,,,,,
6779,0,9.0,7.0,1.0,6.0,,,,,,
6780,1,4.0,0.0,5.0,,,,,,,
6781,5,,,,,,,,,,
6782,3,,,,,,,,,,
6783,0,,,,,,,,,,
6785,0,3.0,2.0,9.0,,,,,,,
6786,1,,,,,,,,,,
6787,1,5.0,0.0,,,,,,,,
6788,2,0.0,5.0,9.0,7.0,,,,,,
6789,1,0.0,9.0,6.0,,,,,,,
6790,5,,,,,,,,,,
6791,0,9.0,7.0,2.0,1.0,,,,,,
6792,5,3.0,0.0,8.0,10.0,,,,,,
6825,8,1.0,,,,,,,,,
6826,8,0.0,,,,,,,,,
6827,7,4.0,1.0,8.0,2.0,,,,,,
6828,1,4.0,,,,,,,,,
6829,0,1.0,4.0,,,,,,,,
6830,10,1.0,2.0,0.0,5.0,,,,,,
6831,1,7.0,10.0,9.0,3.0,,,,,,
6832,4,,,,,,,,,,
6833,0,1.0,7.0,,,,,,,,
6834,0,5.0,,,,,,,,,
6836,0,6.0,3.0,2.0,8.0,,,,,,
